City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,saipan,15.2123,145.7545,298.23,65,75,7.72,MP,1706620174
1,heunghae,36.1095,129.3452,276.43,78,59,1.61,KR,1706620175
2,adamstown,-25.066,-130.1015,296.55,86,100,8.47,PN,1706620176
3,port alfred,-33.586,26.8833,296.63,80,100,2.24,ZA,1706620177
4,bethel,60.7922,-161.7558,244.16,83,0,3.6,US,1706620177
5,holualoa,19.6198,-155.9483,294.57,79,100,4.12,US,1706620178
6,thompson,55.7435,-97.8558,273.33,84,100,5.11,CA,1706620180
7,paphos,34.7768,32.4245,284.69,76,75,3.6,CY,1706620181
8,bamboo flat,11.7,92.7167,299.84,77,12,3.2,IN,1706620182
9,tsiombe,-25.3,45.4833,300.75,57,15,8.16,MG,1706620183
10,ponta delgada,37.7395,-25.6687,291.59,82,75,7.2,PT,1706620184
11,st. john's,47.5649,-52.7093,268.03,82,100,10.8,CA,1706620185
12,port-aux-francais,-49.3492,70.2194,277.07,71,81,15.37,TF,1706620186
13,keflavik,64.0049,-22.5624,271.39,93,100,12.35,IS,1706620187
14,kill devil hills,36.0307,-75.676,279.25,71,100,4.63,US,1706619918
15,yellowknife,62.4541,-114.3725,265.98,100,100,1.95,CA,1706620188
16,uturoa,-16.7289,-151.4448,301.43,75,97,2.92,PF,1706620189
17,blackmans bay,-43.0031,147.3169,289.83,75,0,2.67,AU,1706620190
18,papatowai,-46.5607,169.4707,282.65,92,14,2.95,NZ,1706620191
19,hithadhoo,-0.6,73.0833,301.3,74,25,3.07,MV,1706620192
20,crane,13.1049,-59.4486,300.23,73,6,5.36,BB,1706620193
21,atafu village,-8.5421,-172.5159,302.02,74,100,1.1,TK,1706620194
22,mokhsogollokh,61.3962,128.9381,237.24,100,63,1.73,RU,1706620195
23,myeik,12.4395,98.6003,298.37,85,61,2.87,MM,1706620195
24,mil'kovo,54.6961,158.6207,246.99,97,84,0.58,RU,1706620196
25,hawaiian paradise park,19.5933,-154.9731,294.28,89,0,2.57,US,1706620197
26,portland,-38.3462,141.6026,286.81,80,11,3.48,AU,1706620198
27,palmas,-10.1675,-48.3277,297.85,88,75,2.57,BR,1706620199
28,longyearbyen,78.2233,15.6469,270.3,68,75,6.17,SJ,1706620200
29,ilulissat,69.2167,-51.1,249.16,58,20,6.69,GL,1706619921
30,iqaluit,63.747,-68.5173,254.31,77,100,5.36,CA,1706620201
31,valparaiso,22.771,-103.5699,286.32,49,100,4.88,MX,1706620202
32,malango,-9.6952,159.7173,298.93,89,100,3.14,SB,1706620203
33,edinburgh of the seven seas,-37.0676,-12.3116,288.08,68,45,9.24,SH,1706620204
34,gdov,58.7442,27.8198,273.66,98,100,1.78,RU,1706620205
35,waitangi,-43.9535,-176.5597,290.27,97,100,1.79,NZ,1706620206
36,ust-nera,64.5697,143.237,238.56,100,98,0.55,RU,1706620207
37,rikaze,29.25,88.8833,272.66,19,84,2.86,CN,1706620208
38,san antonio de pale,-1.4068,5.6318,300.65,78,100,3.0,GQ,1706620209
39,west island,-12.1568,96.8225,301.14,65,6,4.12,CC,1706620210
40,puerto natales,-51.7299,-72.506,284.45,87,75,1.54,CL,1706620210
41,fale old settlement,-9.3852,-171.2468,302.48,74,91,2.49,TK,1706620211
42,stjordalshalsen,63.4681,10.9262,274.15,60,0,1.03,NO,1706620212
43,labasa,-16.4332,179.3645,300.26,91,97,3.52,FJ,1706620213
44,puerto ayora,-0.7402,-90.3138,298.5,84,98,3.37,EC,1706620214
45,north bondi,-33.8879,151.2808,297.18,86,100,1.54,AU,1706620215
46,new norfolk,-42.7826,147.0587,289.87,88,0,1.66,AU,1706620215
47,mizan teferi,6.9987,35.5888,301.94,41,98,0.95,ET,1706620216
48,holyhead,53.3062,-4.6321,282.11,76,20,4.63,GB,1706620217
49,alto araguaia,-17.3147,-53.2153,301.62,50,96,2.09,BR,1706620218
50,santiago de cao,-7.9589,-79.2392,297.22,78,75,2.06,PE,1706620219
51,berezovyy,51.669,135.6658,251.14,92,40,1.79,RU,1706620220
52,motygino,58.184,94.6934,246.11,98,18,1.79,RU,1706620220
53,tyuratam,45.6501,63.3116,267.9,91,100,5.0,KZ,1706620221
54,la passe,-4.3515,55.8308,302.17,70,100,5.34,SC,1706619904
55,grytviken,-54.2811,-36.5092,278.79,90,70,6.57,GS,1706620224
56,tura,64.2777,100.2185,247.21,89,100,1.47,RU,1706620225
57,constantia,-34.0314,18.4183,300.94,61,100,5.18,ZA,1706620225
58,saint-joseph,-21.3777,55.6169,301.04,80,51,4.32,RE,1706620226
59,siwa oasis,29.2032,25.5197,288.34,37,10,5.93,EG,1706620227
60,quesnel,52.9784,-122.4931,277.89,92,8,2.12,CA,1706620228
61,abra pampa,-22.7205,-65.697,285.49,60,14,1.85,AR,1706620229
62,midvagur,62.0511,-7.1939,280.61,93,100,12.86,FO,1706620230
63,aginskoye,55.2586,94.9079,245.16,100,65,0.67,RU,1706620230
64,stanley,-51.6938,-57.857,290.31,82,20,3.09,FK,1706620231
65,freeport,28.9541,-95.3597,285.37,81,0,2.68,US,1706620232
66,hilo,19.7299,-155.0907,297.19,64,0,2.57,US,1706620233
67,kargat,55.1956,80.2811,259.7,95,100,4.28,RU,1706620234
68,jabat,7.75,168.9751,298.96,88,100,9.15,MH,1706620235
69,bel ombre,-4.6167,55.4167,302.13,70,100,5.36,SC,1706620236
70,lebu,-37.6083,-73.6536,289.8,64,0,5.14,CL,1706620236
71,sadjoavato,-12.6167,49.35,301.51,68,28,0.29,MG,1706620237
72,tiksi,71.69,128.8647,243.96,99,54,2.43,RU,1706620238
73,ribeira grande,38.5167,-28.7,291.91,88,75,5.66,PT,1706620239
74,calama,-22.4567,-68.9237,293.79,33,0,1.65,CL,1706620240
75,dickinson,46.8792,-102.7896,276.49,87,0,4.12,US,1706620241
76,invercargill,-46.4,168.35,283.16,92,3,0.89,NZ,1706620241
77,vadso,70.0735,29.7494,274.24,75,0,13.89,NO,1706620242
78,usinsk,65.9939,57.5281,264.3,94,100,10.28,RU,1706620243
79,whitehorse,60.7161,-135.0538,271.54,97,100,2.9,CA,1706620244
80,tranovaho,-25.3,44.9667,301.2,51,10,8.68,MG,1706620245
81,haiku-pauwela,20.9219,-156.3051,297.06,88,40,6.17,US,1706620246
82,flying fish cove,-10.4217,105.6791,298.97,94,98,2.06,CX,1706620246
83,along,28.1695,94.8006,287.54,68,66,0.05,IN,1706620247
84,arraial do cabo,-22.9661,-42.0278,302.07,74,0,5.14,BR,1706620248
85,changping,40.2161,116.2347,269.97,67,8,1.11,CN,1706620249
86,kenai,60.5544,-151.2583,256.01,80,100,4.12,US,1706620250
87,port elizabeth,-33.9611,25.6149,295.99,76,100,4.0,ZA,1706620251
88,badger,64.8,-147.5333,247.29,74,75,0.0,US,1706620252
89,masterton,-40.9597,175.6575,288.76,79,100,3.15,NZ,1706620252
90,port mathurin,-19.6833,63.4167,300.72,79,100,8.38,MU,1706620253
91,daru,-9.0779,143.2089,300.26,86,100,2.07,PG,1706620254
92,east london,-33.0153,27.9116,297.53,73,100,7.4,ZA,1706619977
93,happy valley-goose bay,53.3038,-60.3258,246.99,87,12,2.31,CA,1706620257
94,trincomalee,8.5778,81.2289,299.6,84,28,5.58,LK,1706620257
95,mount pearl,47.5166,-52.7814,267.57,83,100,10.8,CA,1706620258
96,baruun-urt,46.6806,113.2792,240.95,96,11,1.19,MN,1706620259
97,carnarvon,-30.9683,22.133,303.89,14,100,4.32,ZA,1706620260
98,laguna,-28.4825,-48.7808,298.3,67,0,1.33,BR,1706620261
99,pueblo,38.2545,-104.6091,279.57,81,0,2.57,US,1706620262
100,howrah,-42.8873,147.4055,290.18,48,0,8.75,AU,1706620262
101,udachny,66.4299,112.4021,243.71,100,87,0.92,RU,1706620264
102,sanming,26.2486,117.6186,288.63,95,2,0.74,CN,1706620265
103,bilibino,68.0546,166.4372,239.19,100,100,1.28,RU,1706620266
104,sungai penuh,-2.0561,101.3913,294.33,98,100,1.18,ID,1706620267
105,necochea,-38.5545,-58.7396,303.03,39,0,5.1,AR,1706620268
106,galle,6.0461,80.2103,299.64,81,36,0.91,LK,1706620269
107,minas de marcona,-15.2119,-75.1103,292.75,80,93,5.14,PE,1706620270
108,jianshui,24.2774,101.224,280.75,60,0,1.82,CN,1706620271
109,arhavi,41.3512,41.3046,282.13,72,23,1.42,TR,1706620272
110,kodiak,57.7885,-152.4053,258.28,56,0,2.57,US,1706620272
111,hamilton,32.2949,-64.783,287.01,90,75,7.72,BM,1706620273
112,vila franca do campo,37.7167,-25.4333,291.42,99,34,3.19,PT,1706620274
113,san patricio,19.2253,-104.7045,296.15,78,0,3.09,MX,1706620275
114,port douglas,-16.4838,145.4673,301.67,85,84,2.15,AU,1706620276
115,businga,3.3386,20.8858,310.9,19,100,1.07,CD,1706620277
116,nogliki,51.7992,143.1387,253.31,98,93,2.68,RU,1706620278
117,opuwo,-18.0607,13.84,307.05,26,99,6.12,NA,1706620278
118,price,39.5994,-110.8107,272.74,80,0,2.06,US,1706620279
119,scarborough,11.1823,-60.7353,299.61,75,2,7.54,TT,1706620280
120,lompoc,34.6392,-120.4579,284.59,97,0,2.57,US,1706620281
121,sitia,35.2078,26.1047,284.18,58,81,12.18,GR,1706620282
122,bridgewater,44.3786,-64.5188,267.01,78,49,2.24,CA,1706620283
123,talnakh,69.4865,88.3972,254.93,81,99,5.24,RU,1706620283
124,viligili,0.7591,73.433,301.11,77,24,3.71,MV,1706620284
125,cabo san lucas,22.8909,-109.9124,300.32,41,40,13.89,MX,1706620285
126,guerrero negro,27.9689,-114.0443,289.42,64,5,2.21,MX,1706620286
127,aasiaat,68.7098,-52.8699,244.5,98,99,3.07,GL,1706620287
128,fort st. john,56.2499,-120.8529,278.22,80,100,6.49,CA,1706620288
129,lanxi,29.2159,119.4716,285.97,88,42,0.73,CN,1706620289
130,hermanus,-34.4187,19.2345,296.08,69,3,6.42,ZA,1706620289
131,shouguang,36.88,118.7375,277.73,84,12,3.05,CN,1706620219
132,remire-montjoly,4.9167,-52.2667,301.17,89,100,3.6,GF,1706620291
133,olyokminsk,60.3743,120.4203,236.42,100,39,1.23,RU,1706620292
134,ushuaia,-54.8108,-68.3159,285.26,76,40,1.54,AR,1706620293
135,szydlowiec,51.2282,20.8611,281.86,50,99,3.71,PL,1706620293
136,vorgashor,67.5836,63.794,258.65,95,100,7.66,RU,1706620294
137,rhinelander,45.6366,-89.4121,273.33,86,100,3.59,US,1706620295
138,lombardia,19.1581,-102.0511,292.33,41,100,1.52,MX,1706620296
